package_name,binary_name,version,os,arch,package_sha1,package_sha256,binary_sha1,binary_sha256
rclone-v1.61.0-linux-mipsle.rpm,rclone,v1.61.0,linux,mipsle,9c41e2f3702cfdacc85eb955d1153b50dd0d118c,10b33c026f0c5ae6c12196b492174463be574733e66c68e952e30512739659a8,c1b26eaa715d5e7a482a710f14c6cfe733327df3,5b1b2501f9a17634864306c322c7945d0e4e06b19bc035274dbec08cd3e59aeb
rclone-v1.61.0-linux-mipsle.zip,rclone,v1.61.0,linux,mipsle,cc8eb27203bdbaef8a9dbd612b890e3c0b8bbfbd,7a542d030cdfdda09c4ff01b6610f0c7c90e1ba27432952e81fb817335b8861e,c1b26eaa715d5e7a482a710f14c6cfe733327df3,5b1b2501f9a17634864306c322c7945d0e4e06b19bc035274dbec08cd3e59aeb
rclone-v1.61.0-netbsd-386.zip,rclone,v1.61.0,netbsd,386,cd0a42ceb8d82e8ae9af64ad9c195d76ebe1bb35,c365445b0b3203e5535c9c03f0e4b9f1bfc48ba55766cc4277d18aefbde84456,a0d2fe3478e8dab55e9371d8799c6503f9469dfd,b00454889c40ae8478aeed979c21ea4002579fa67bd161a99b7cce0230078e83
rclone-v1.61.0-netbsd-amd64.zip,rclone,v1.61.0,netbsd,amd64,68bca62e55eaa5e10fe12c83766d505dcf592c31,94fd39762f3351b03852fcb6e6c28e5ee0a98eb27fae35feeb65997ebc9c26f0,ca9d8069026172507388f293ea5c88e58ac63cf9,6b7110c912b9a12ea0a07a031f406b46e551e21151b97b1a5fd5ffa3b9de6eca
rclone-v1.61.0-netbsd-arm-v7.zip,rclone,v1.61.0,netbsd,arm-v7,dbfaa6ddb91f024a95c1a5d72fc2dbb359bc7f1e,12dfd415b34bf14102ed74b792e72b38339a504327a72b598369983da3703b54,986b9358adb57690fcfd87a4a6b79fe4ce67a126,166c0690fc01f5047a4128244fe9fb0d4edaa272844ba0ff3c93c7182a7ba0d1
rclone-v1.61.0-netbsd-arm.zip,rclone,v1.61.0,netbsd,arm,908f92a7a25e51be11cdbb6b84699b74e8f1afaf,a96191ac73f7407bf98729738792ba5aaf0395665aeff5a98127a2a5bc629cde,aeac58658f428f352709c5cb508397ae720a94e9,81e60af03d3a0b471ae2307bf07b0185d49f5d215c3ee31365637ec38c64da52
rclone-v1.61.0-openbsd-386.zip,rclone,v1.61.0,openbsd,386,46ed1782fc0e7fccad987a2ad3c68d354f4b028e,c861597da1b6e5f884d6b1a7bfa480596e0ba574babd9d2ed297b26685aac2a8,83992a0f7285e5b9f1c52dd29bf8582132c73925,89d98634045cdfc56dd8b761f13fb2cb54f2c2d0aaa09879c07f0395943f3e9c
rclone-v1.61.0-openbsd-amd64.zip,rclone,v1.61.0,openbsd,amd64,dd70444bfcaf82a26bad5c70e3b121f49bae1952,cfb47bb4ee8119eaf61f1c2a34226e74af91c22485760bfd1f2209852bfbbf7f,b0081626182dfe967edce920a03ada5e499466f8,9866e223d9bab9c6255b32486728e573686e28d23c53e750ef1707ad53baaafa
rclone-v1.61.0-osx-amd64.zip,rclone,v1.61.0,osx,amd64,3bd0cc4c6495a0fb8beb43799de5d842e948bb6e,4c1725016b58ea1a8ae96c842321a2d9ec1f91563e278961c8b3cbe2dcda4a40,759df4dc3f013da695af15c2f4346f761e40a7e7,19f6da82ec8f19db46a80d5313e4f5f9300e7b1806feaea3ab389a4b6594a627
rclone-v1.61.0-osx-arm64.zip,rclone,v1.61.0,osx,arm64,9ecbd1487f68ed9970b5f3c24e688ea329f99ec3,5721a43731c1472216f3005efaf5a9e298ac2c9d40c4b55e68fe9ae5692c48b3,c1823f2876e27b6529333a6d0d3f4e3fb49b0a8a,45a6320c4f5441b9b2feb9b545d5badb02469d941e6d0d28ddc3a3ad97b1bd22
rclone-v1.61.0-plan9-386.zip,rclone,v1.61.0,plan9,386,eeac50881b0e495f7e274f3f20ef4c0791a4f9ef,d599ad55cf5281a8c69770267785aa5c72467bcd91e0a39f0e78a76723c32802,fa54b7b132a41d60255f944d61d46283568fadc5,eae26695fffc2c55e492bdb1a9b721f465313763b184dbed8e3b44876d9c3b5c
rclone-v1.61.0-plan9-amd64.zip,rclone,v1.61.0,plan9,amd64,1f3ff5b9c173ead8369d683ec36297590e8b15e8,d516e6b86a3a8b8dd7e5abb426ca435077178539379c2253ba035b0a0b08bc8b,5822c0ef72863865428a11beff807a2cff5f8539,6216fdbb39b7fb1bd16c2531ca49896b3aefe8106b4a9b3bc10a1a56a984167a
rclone-v1.61.0-solaris-amd64.zip,rclone,v1.61.0,solaris,amd64,167f6018c2d41b78051582b17809e547ab7168a5,04965584331eefc46ddb5d667ce123b20a91ae7f275bcda944e16b6f8d17b0d0,e921bc8732ac42cfcbd0de70368bec26f26fdd3c,02476d1190f8afaff8f942b59426f818501771bd3e29be148c292db2acf336ec
